,title,description
0,Competition Data: Tropical Cyclone Features with Satellite Data for Hurricane Forecast,"<p><span><span><span>Announcement: a training session to familiarize our contestants with the data will be hosted by our expert panels at NASA JPL, IBM, LMU. Keep posted for more&nbsp;updates about the competition and training!</span></span></span></p>_x000D_
_x000D_
<p><span><span><span>Contestants are asked to create a statistical model to predict tropical cyclone (TC) intensity change in 24 hours using advanced machine learning techniques. There are 2 sets of TC data from 1998 to 2010; one is the predictors operationally used in a statistical TC intensity forecast model (SHIPS1998-2010.nc). The other is satellite observations with spatially and temporally varying features of TC structures (Prcpxxxx.nc). Combined use of two datasets are expected to yield better results than using one dataset only. All the data are in NetCDF format.</span></span></span></p>_x000D_
_x000D_
<ul>_x000D_
	<li><span><span><span><span>SHIPS.nc: </span></span></span></span>_x000D_
_x000D_
	<ul>_x000D_
		<li><span><span><span><span>Time range: 1998 ��� 2014</span></span></span></span></li>_x000D_
		<li><span><span><span><span>Multiple 1-Dimensional parameters. Each ���DATE��� represents 1 sample. </span></span></span></span></li>_x000D_
	</ul>_x000D_
	</li>_x000D_
	<li><span><span><span><span>Prcpxxx.nc</span></span></span></span>_x000D_
	<ul>_x000D_
		<li><span><span><span><span>Time range: one year for each file</span></span></span></span></li>_x000D_
		<li><span><span><span><span>���prcp���: Satellite observations with spatially and temporally varying features of TC structures in 4-dimensional. The ���RLAT��� and ���RLON��� coordinates represent the spatially varying features of TC structures. The ���RHOUR��� coordinate represents the temporally varying features of TC structures. -12 in RHOUR means 12 hours before current time.</span></span></span></span></li>_x000D_
	</ul>_x000D_
	</li>_x000D_
</ul>_x000D_
_x000D_
<p><span><span><span>In the competition, we will focus on predicting TC rapid intensification occurrence in 24 hours (RI: dvmax&gt;=25 knots in the data). ��� RI : 1 (DVMAXT-24)&gt;=25 or 0 (DVMAXT-24)&lt;25. RI here is a categorical variable that will need to be derived from the data using the difference in VMAX from the past 24 hours. </span></span></span></p>_x000D_
"
1,Civil Service List (Active),"A Civil Service List consists of all candidates who passed an exam, ranked in score order. An established list is considered active for no less than one year and no more than four years from the date of establishment. For more information visit DCAS��� ���Work for the City��� webpage at: https://www1.nyc.gov/site/dcas/employment/take-an-exam.page"
2,COVID-19 Testing Sites - Map,"Map of locations offering COVID-19 testing in Chicago._x000D_
_x000D_
For more information on COVID-19 testing, see https://www.chicago.gov/city/en/sites/covid-19/home/managing-your-health.html?#tab-shouldtest."
3,Crimes - Map,"This dataset reflects reported incidents of crime that have occurred in the City of Chicago over the past year, minus the most recent seven days of data. Data is extracted from the Chicago Police Department's CLEAR (Citizen Law Enforcement Analysis and Reporting) system. In order to protect the privacy of crime victims, addresses are shown at the block level only and specific locations are not identified. Should you have questions about this dataset, you may contact the Research & Development Division of the Chicago Police Department at 312.745.6071 or RandD@chicagopolice.org._x000D_
Disclaimer: These crimes may be based upon preliminary information supplied to the Police Department by the reporting parties that have not been verified. The preliminary crime classifications may be changed at a later date based upon additional investigation and there is always the possibility of mechanical or human error. Therefore, the Chicago Police Department does not guarantee (either expressed or implied) the accuracy, completeness, timeliness, or correct sequencing of the information and the information should not be used for comparison purposes over time. The Chicago Police Department will not be responsible for any error or omission, or for the use of, or the results obtained from the use of this information. All data visualizations on maps should be considered approximate and attempts to derive specific addresses are strictly prohibited. _x000D_
_x000D_
The Chicago Police Department is not responsible for the content of any off-site pages that are referenced by or that reference this web page other than an official City of Chicago or Chicago Police Department web page. The user specifically acknowledges that the Chicago Police Department is not responsible for any defamatory, offensive, misleading, or illegal conduct of other users, links, or third parties and that the risk of injury from the foregoing rests entirely with the user. Any use of the information for commercial purposes is strictly prohibited. The unauthorized use of the words ""Chicago Police Department,"" ""Chicago Police,"" or any colorable imitation of these words or the unauthorized use of the Chicago Police Department logo is unlawful. This web page does not, in any way, authorize such use._x000D_
Data is updated daily."
4,Civil Service List Certification,"A List Certification includes the names of eligible candidates on an Active Civil Service List that has been established.  The Certification may contain part of a list, the whole list, or multiple lists at the request of an appointing agency, to fill vacancies and/or replace provisionals.  Eligible candidates on a Certification may be considered for probable appointment at the appointing Agency.  For more information visit DCAS��� ���Work for the City��� webpage at: https://www1.nyc.gov/site/dcas/employment/take-an-exam.page"
5,311 Service Requests from 2010 to Present,"<b>NOTE: This data does not present a full picture of 311 calls or service requests, in part because of operational and system complexities associated with remote call taking necessitated by the unprecedented volume 311 is handling during the Covid-19 crisis. The City is working to address this issue. </b>_x000D_
_x000D_
All 311 Service Requests from 2010 to present. This information is automatically updated daily."
6,Business Licenses - Current Active,"This dataset contains all current and active business licenses issued by the Department of Business Affairs and Consumer Protection.  This dataset contains a large number of records /rows of data and may not be viewed in full in Microsoft Excel.  Therefore, when downloading the file, select CSV from the Export menu.  Open the file in an ASCII text editor, such as Notepad or Wordpad, to view and search.  _x000D_
_x000D_
 _x000D_
Data fields requiring description are detailed below. _x000D_
_x000D_
APPLICATION TYPE:  'ISSUE' is the record associated with the initial license application.  'RENEW' is a subsequent renewal record.  All renewal records are created with a term start date and term expiration date.  'C_LOC' is a change of location record.  It means the business moved.   'C_CAPA' is a change of capacity record.  Only a few license types my file this type of application.  'C_EXPA' only applies to businesses that have liquor licenses.  It means the business location expanded._x000D_
_x000D_
LICENSE STATUS: 'AAI' means the license was issued. _x000D_
_x000D_
Business license owners may be accessed at:  http://data.cityofchicago.org/Community-Economic-Development/Business-Owners/ezma-pppn_x000D_
To identify the owner of a business, you will need the account number or legal name._x000D_
_x000D_
 _x000D_
Data Owner: Business Affairs and Consumer Protection _x000D_
 _x000D_
Time Period: Current _x000D_
 _x000D_
Frequency: Data is updated daily"
7,Crimes - 2001 to Present,"This dataset reflects reported incidents of crime (with the exception of murders where data exists for each victim) that occurred in the City of Chicago from 2001 to present, minus the most recent seven days. Data is extracted from the Chicago Police Department's CLEAR (Citizen Law Enforcement Analysis and Reporting) system. In order to protect the privacy of crime victims, addresses are shown at the block level only and specific locations are not identified. Should you have questions about this dataset, you may contact the Research & Development Division of the Chicago Police Department at PSITAdministration@ChicagoPolice.org.  Disclaimer: These crimes may be based upon preliminary information supplied to the Police Department by the reporting parties that have not been verified. The preliminary crime classifications may be changed at a later date based upon additional investigation and there is always the possibility of mechanical or human error. Therefore, the Chicago Police Department does not guarantee (either expressed or implied) the accuracy, completeness, timeliness, or correct sequencing of the information and the information should not be used for comparison purposes over time. The Chicago Police Department will not be responsible for any error or omission, or for the use of, or the results obtained from the use of this information. All data visualizations on maps should be considered approximate and attempts to derive specific addresses are strictly prohibited. The Chicago Police Department is not responsible for the content of any off-site pages that are referenced by or that reference this web page other than an official City of Chicago or Chicago Police Department web page. The user specifically acknowledges that the Chicago Police Department is not responsible for any defamatory, offensive, misleading, or illegal conduct of other users, links, or third parties and that the risk of injury from the foregoing rests entirely with the user.  The unauthorized use of the words ""Chicago Police Department,"" ""Chicago Police,"" or any colorable imitation of these words or the unauthorized use of the Chicago Police Department logo is unlawful. This web page does not, in any way, authorize such use. Data are updated daily. To access a list of Chicago Police Department - Illinois Uniform Crime Reporting (IUCR) codes, go to http://data.cityofchicago.org/Public-Safety/Chicago-Police-Department-Illinois-Uniform-Crime-R/c7ck-438e"
8,"Current Employee Names, Salaries, and Position Titles","This dataset is a listing of all current City of Chicago employees, complete with full names, departments, positions, employment status (part-time or full-time), frequency of hourly employee ���where applicable���and annual salaries or hourly rate. For hourly employees, the City is providing the hourly rate and frequency of hourly employees (40, 35, 20 and 10) to allow dataset users to estimate annual wages for hourly employees. Please note that annual wages will vary by employee, depending on number of hours worked and seasonal status. For information on the positions and related salaries detailed in the annual budgets, see https://www.cityofchicago.org/city/en/depts/obm.html"
9,FHV Base Aggregate Report,"Monthly report including total dispatched trips, total dispatched shared trips, and unique dispatched vehicles aggregated by FHV (For-Hire Vehicle) base. These have been tabulated from raw trip record submissions made by bases to the NYC Taxi and Limousine Commission (TLC). _x000D_
_x000D_
This dataset is typically updated monthly on a two-month lag, as bases have until the conclusion of the following month to submit a month of trip records to the TLC. In example, a base has until Feb 28 to submit complete trip records for January. Therefore, the January base aggregates will appear in March at the earliest. The TLC may elect to defer updates to the FHV Base Aggregate Report if a large number of bases have failed to submit trip records by the due date._x000D_
_x000D_
Note: The TLC publishes base trip record data as submitted by the bases, and we cannot guarantee or confirm their accuracy or completeness. Therefore, this may not represent the total amount of trips dispatched by all TLC-licensed bases. The TLC performs routine reviews of the records and takes enforcement actions when necessary to ensure, to the extent possible, complete and accurate information."
