user,project,recom_score
5,815,0.497992691
5,646,0.481280931
5,458,0.470417677
5,1334,0.181500306
5,826,0.130665001
6,432,0.497119077
6,1017,0.493568921
6,314,0.464191568
6,1222,0.126957682
6,668,0.053899797
8,1522,0.488453562
8,646,0.481280931
8,1975,0.48058402
8,1674,0.478221746
8,902,0.462465103
9,432,0.497119077
9,1522,0.488453562
9,646,0.481280931
9,1975,0.48058402
9,902,0.462465103
10,1522,0.488453562
10,1975,0.48058402
10,314,0.464191568
10,442,0.217498034
10,1940,0.158482058
11,815,0.497992691
11,1017,0.493568921
11,1975,0.48058402
11,1674,0.478221746
11,1334,0.181500306
15,815,0.497992691
15,432,0.497119077
15,1975,0.48058402
15,314,0.464191568
15,902,0.462465103
16,497,0.539824779
16,291,0.487186491
16,1352,0.483497315
16,124,0.457039579
16,1785,0.433412992
16,1890,0.433252051
16,736,0.361986694
16,268,0.149783297
16,783,0.108334013
18,815,0.497992691
18,1522,0.488453562
18,646,0.481280931
18,1975,0.48058402
18,1243,0.380675292
20,1522,0.488453562
20,646,0.481280931
20,646,0.481280931
20,1415,0.331042986
20,668,0.053899797
22,1975,0.48058402
22,1707,0.220613815
22,1334,0.181500306
22,1778,0.117417975
22,1195,0.098351097
23,1809,0.422580077
23,448,0.322800907
23,1917,0.273205823
23,1334,0.181500306
23,758,0.13695512
25,1017,0.493568921
25,646,0.481280931
25,29,0.199173214
25,1102,0.0933456
25,83,0.079152722
26,432,0.497119077
26,646,0.481280931
26,1674,0.478221746
26,458,0.470417677
26,902,0.462465103
27,432,0.497119077
27,1017,0.493568921
27,1522,0.488453562
27,1975,0.48058402
27,458,0.470417677
28,314,0.611564484
28,504,0.602405845
28,1456,0.578245697
28,1414,0.574491001
28,1884,0.542124251
28,291,0.528295055
28,1155,0.514473413
28,361,0.496331974
28,1890,0.486808001
28,1475,0.464994708
28,658,0.423255394
28,1861,0.411733344
28,1453,0.404038184
28,250,0.36500128
28,207,0.352771465
28,1362,0.345229613
28,29,0.33912258
28,819,0.326089616
28,1252,0.311111193
28,982,0.305389656
28,157,0.29558034
28,826,0.292034444
28,488,0.228184698
28,1542,0.206390239
28,1334,0.181500306
28,783,0.177265354
28,376,0.155800998
30,815,0.497992691
30,1975,0.48058402
30,1674,0.478221746
30,458,0.470417677
30,902,0.462465103
32,646,0.481280931
32,1674,0.478221746
32,314,0.464191568
32,902,0.462465103
32,242,0.291802474
34,1975,0.48058402
34,1674,0.478221746
34,314,0.464191568
34,1211,0.335772293
34,1334,0.181500306
35,1017,0.493568921
35,1522,0.488453562
35,458,0.470417677
35,458,0.470417677
35,471,0.321062517
39,1017,0.493568921
39,458,0.470417677
39,1437,0.223213366
39,83,0.079152722
39,668,0.053899797
42,1017,0.638653749
42,1560,0.605972655
42,1809,0.597807361
42,1233,0.573474175
42,1284,0.551349087
42,497,0.539824779
42,13,0.526401174
42,1196,0.519019321
42,1119,0.491105381
42,291,0.487186491
42,1352,0.483497315
42,448,0.460401493
42,124,0.457039579
42,1430,0.453513941
42,1292,0.451122366
42,1410,0.447567268
42,1785,0.433412992
42,1890,0.433252051
42,1919,0.411008639
42,1917,0.410538903
42,1453,0.410187968
42,102,0.377482827
42,807,0.375431824
42,736,0.361986694
42,29,0.351990851
42,1334,0.342496341
42,98,0.328574858
42,925,0.3161669
42,826,0.288256314
42,1786,0.279599508
42,247,0.272727405
42,1102,0.249349582
42,1737,0.228321396
42,347,0.227473639
42,268,0.149783297
42,783,0.113750191
43,1522,0.488453562
43,646,0.481280931
43,458,0.470417677
43,1247,0.382032007
43,381,0.055726547
44,815,0.497992691
44,432,0.497119077
44,1017,0.493568921
44,646,0.481280931
44,458,0.470417677
45,1522,0.488453562
45,1674,0.478221746
45,458,0.470417677
45,314,0.464191568
45,902,0.462465103
46,1017,0.493568921
46,646,0.481280931
46,1975,0.48058402
46,314,0.464191568
46,902,0.462465103
49,471,0.321062517
49,404,0.304422738
49,29,0.199173214
49,1102,0.0933456
49,83,0.079152722
50,815,0.497992691
50,432,0.497119077
